"","source","id","type","date","year","decade","lat","lon","source2","type_gbif","state","acceptedNameUsage","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","created","dataGeneralizations","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","group","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http://unknown.org/classs","http://unknown.org/occurrenceDetails","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","lithostratigraphicTerms","locality","locationAccordingTo","locationID","locationRemarks","lowestBiostratigraphicZone","member","modified","month","municipality","nameAccordingTo","namePublishedInYear","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingEffort","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimSRS","verbatimTaxonRank","vernacularName","waterBody","downloadDate"
"1159","GBIF","GBIF30","specimen",2007-08-30,2007,"2000s",46.629834,-117.344222,"CRCM","PhysicalObject","Washington",NA,"http://vertnet.org/resources/norms.html","Washington","Whitman",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"13-221","Mammalia",359,"T13N, R43E, sec 12, Wawaiwai Canyon, Whitman Co., WA, Washington, Whitman, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,100,"United States",60,NA,NA,NA,"3a339645-d3b4-40aa-b891-f9c92dc554d8",NA,NA,30,NA,NA,NA,"{""ear length"":""23.0"", ""hind foot length"":""65.0"", ""tail length"":""190.0"", ""total length"":""890.0"", ""weight"":""8,000.0"" }",NA,NA,NA,NA,NA,NA,NA,"242","NATIVE","2007-08-30T00:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,"United States","1024658378","Erethizon","Erethizon",2437593,"WGS84",NA,"Kelly M. Cassidy (CRCM)","24-Apr-13","VertNet Georeferencing Guidelines",NA,"Google Earth and/or Washington DeLorme Atlas","requires verification",NA,NA,"Mammalia | Rodentia | Erethizontidae","North America | United States | Washington | Whitman |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:CRCM:Mammals:13-221",NA,NA,NA,"CRCM","urn:lsid:biocol.org:col:34938",NA,NA,"US",1024658378,"Animalia",1,"en","2017-11-02T23:25:03.418+0000","2018-02-04T21:32:00.569+0000","2017-11-02T23:25:03.422+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"T13N, R43E, sec 12, Wawaiwai Canyon, Whitman Co., WA",NA,NA,NA,NA,NA,"2017-11-02T00:00:00.000+0000",8,NA,NA,NA,"ICZN","urn:catalog:CRCM:Mammals:13-221","Skull shattered by bullet","present","Rodentia",1459,NA,"CJS-20",NA,NA,"Chordata",44,"mount (body) | muscle, liver, heart, kidney",NA,"DWC_ARCHIVE","US","7c7b6440-94d1-11dd-bdb1-b8a03c50a862","Moffett, Stacia",NA,"http://portal.vertnet.org/o/crcm/mammals?id=13-221",NA,NA,NA,NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,"MALE","Erethizon dorsatus",6066824,"dorsatus","242",NA,NA,6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"30-Aug-2007","North America | United States | Washington | Whitman | T13N, R43E, sec 12, Wawaiwai Canyon, Whitman Co., WA",NA,NA,"North American Porcupine",NA,2018-05-18
"1166","GBIF","GBIF31","specimen",2006-01-01,2006,"2000s",44.0001,-120.5014,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",NA,"Oregon",NA,NA,"Oregon","Coos",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"OSUM Mammals 6216","Mammalia",359,"Bullard's Beach, Bandon, Coos Co., Oregon, USA, Oregon, Coos, United States","Mammals",NA,NA,NA,NA,"United States",80,NA,NA,NA,"78dcfcbd-03c4-4d47-8618-830aac6f2ee5",NA,"2013-01-01T00:00:00.000+0000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-01-01T00:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,"skull only; Location:(cabinet:4 drawer:10 institutionCode:M; Preparation:skull; VerbatimCollectionDate:2006; verbatimLocality:Bullard's Beach; Banden Co.; Oregon; United States",NA,NA,"United States","861700660","Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,"GeoNames (Auto-Correction)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Mammals__6216",1,NA,NA,"Ohio State University - Mammal Division, Columbus, OH (OSUM)",NA,NA,NA,"US",861700660,"Animalia",1,"en","2018-05-16T05:48:41.292+0000","2018-02-04T21:51:49.981+0000","2017-12-27T06:43:16.802+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by/4.0/legalcode","ADULT",NA,"Bullard's Beach, Bandon, Coos Co., Oregon, USA",NA,NA,NA,NA,NA,"2015-02-09T15:46:45.000+0000",1,NA,NA,NA,NA,"urn:lsid:biosci.ohio-state.edu:osuc_occurrences:OSUM__Mammals__6216",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,"skull within unspecified",NA,"DWC_ARCHIVE","US","5ffa575c-fcd4-4583-9611-545f67b04316","Nelson, A. (Al)",NA,NA,NA,NA,NA,NA,"none specified","Erethizon dorsatus (Linnaeus, 1758)","urn:lsid:biosci.ohio-state.edu:osuc_names:298805",NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,NA,6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"1 January 2006",NA,NA,NA,NA,NA,2018-05-18
"1178","GBIF","GBIF32","sighting",2006-09-26,2006,"2000s",47.416614,-117.552402,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"9812698","Mammalia",359,"United States","Observations",NA,NA,NA,1000,"United States",110,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2018-02-10T18:54:11.000+0000",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-09-26T11:20:00.000+0000",NA,NA,"15:20:00Z","Erethizontidae",5498,NA,NA,NA,"United States","1831168398","Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.inaturalist.org/observations/9812698","21625505",NA,NA,NA,NA,"9812698",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1831168398,"Animalia",1,NA,"2018-05-09T03:27:28.193+0000","2018-05-09T03:27:28.258+0000","2018-05-09T03:27:28.222+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2018-05-03T23:14:02.000+0000",9,NA,NA,NA,NA,"https://www.inaturalist.org/observations/9812698",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","ladarnell",NA,"https://www.inaturalist.org/observations/9812698",NA,"© ladarnell some rights reserved","ladarnell",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"2006/09/26 11:20 AM EDT","Spokane County, WA, USA",NA,NA,NA,NA,2018-05-18
"1190","GBIF","GBIF33","sighting",2005-05-30,2005,"2000s",46.558772,-123.617166,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"3952563","Mammalia",359,"United States","Observations",NA,NA,NA,15,"United States",110,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2016-08-24T11:41:26.000+0000",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2005-05-30T19:33:00.000+0000",NA,NA,"02:33:00Z","Erethizontidae",5498,NA,NA,NA,"United States","1305158856","Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.inaturalist.org/observations/3952563","7671956",NA,NA,NA,NA,"3952563",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1305158856,"Animalia",1,NA,"2018-05-09T02:34:34.468+0000","2018-02-04T08:52:40.760+0000","2018-01-11T08:31:41.054+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2016-08-24T19:09:44.000+0000",5,NA,NA,NA,NA,"http://www.inaturalist.org/observations/3952563",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","pushtheriver",NA,"https://www.inaturalist.org/observations/3952563",NA,"© pushtheriver some rights reserved","pushtheriver",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"2005/05/30 7:33 PM PDT","Pacific County, WA, USA",NA,NA,NA,NA,2018-05-18
"1196","GBIF","GBIF34","specimen",2005-08-31,2005,"2000s",46.667607,-117.153541,"CRCM","PhysicalObject","Washington",NA,"http://vertnet.org/resources/norms.html","Washington","Whitman",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"13-220","Mammalia",359,"4.5 mi S Pullman, 1202 Staley Rd, Whitman Co., WA, Washington, Whitman, United States, NORTH_AMERICA","Mammals",NA,"NORTH_AMERICA",NA,10,"United States",60,NA,NA,NA,"3a339645-d3b4-40aa-b891-f9c92dc554d8",NA,NA,31,NA,NA,NA,"{""gonad length 1"":""13.0"", ""gonad length 2"":""9.0"", ""weight"":""3,750.0"" }",NA,NA,NA,NA,NA,NA,NA,"243","NATIVE","2005-08-31T00:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,"United States","1024658377","Erethizon","Erethizon",2437593,"WGS84",NA,"Kelly M. Cassidy (CRCM)","24-Apr-13","VertNet Georeferencing Guidelines",NA,"Google Earth and/or Washington DeLorme Atlas","requires verification",NA,NA,"Mammalia | Rodentia | Erethizontidae","North America | United States | Washington | Whitman |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:CRCM:Mammals:13-220",NA,NA,NA,"CRCM","urn:lsid:biocol.org:col:34938",NA,NA,"US",1024658377,"Animalia",1,"en","2017-11-02T23:25:03.412+0000","2018-02-04T21:32:01.841+0000","2017-11-02T23:25:03.417+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"4.5 mi S Pullman, 1202 Staley Rd, Whitman Co., WA",NA,NA,NA,NA,NA,"2017-11-02T00:00:00.000+0000",8,NA,NA,NA,"ICZN","urn:catalog:CRCM:Mammals:13-220","Shot with .22, skull shattered, young, short quills, no scars","present","Rodentia",1459,NA,"CJS-13",NA,NA,"Chordata",44,"mount (body) | muscle, liver, heart, kidney",NA,"DWC_ARCHIVE","US","7c7b6440-94d1-11dd-bdb1-b8a03c50a862","Ball, G. W.",NA,"http://portal.vertnet.org/o/crcm/mammals?id=13-220",NA,NA,NA,NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,"FEMALE","Erethizon dorsatus",6066824,"dorsatus","243",NA,NA,6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"31-Aug-2005","North America | United States | Washington | Whitman | 4.5 mi S Pullman, 1202 Staley Rd, Whitman Co., WA",NA,NA,"North American Porcupine",NA,2018-05-18
"1329","GBIF","GBIF35","specimen",1996-09-10,1996,"1990s",42.9572,-118.8679,"UWBM","PhysicalObject","Oregon",NA,"http://vertnet.org/resources/norms.html","Oregon","Harney County",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"80986","Mammalia",359,"Malheur NWR; Central Patrol Rd, near Benson Pond, Oregon, Harney County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,NA,"United States",61,NA,NA,NA,"830eb5d0-f762-11e1-a439-00145eb45e9a",NA,"2017-07-11T00:00:00.000+0000",10,NA,NA,NA,"hind foot with claw=78 mm; weight=3250 g; unformatted measurements=; ear from notch = x; tail length = x; total length = x ; verbatim collector=R. L. White ; verbatim collector=J. E. Bradley 1354 ; sex=unknown",NA,NA,NA,NA,NA,NA,NA,"254",NA,"1996-09-10T00:00:00.000+0000",NA,"native; dead on road; too dry to measure",NA,"Erethizontidae",5498,NA,NA,NA,"United States","1702719086","Erethizon","Erethizon",2437593,"WGS84",NA,"unknown","2017-07-11 00:00:00.0","not recorded",NA,"unknown","unverified",NA,NA,"Animalia; Chordata; Mammalia; Rodentia; Erethizontidae;  (Linnaeus, 1758)","North America, United States, Oregon, Harney County",NA,NA,NA,NA,"A",NA,"legacy","unknown","http://arctos.database.museum/guid/UWBM:Mamm:80986?seid=3647208",1,NA,NA,"UWBM","http://biocol.org/urn:lsid:biocol.org:col:34878",NA,NA,"US",1702719086,"Animalia",1,"en","2018-05-09T08:36:58.356+0000","2018-02-02T21:40:30.296+0000","2017-11-29T18:00:58.784+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"Malheur NWR; Central Patrol Rd, near Benson Pond","unknown",NA,"Benson Pond, by GoogleEarth WGS83; GEOREFERENCEVERIFICATIONSTATUS: requires verification",NA,NA,"2017-07-14T18:13:15.000+0000",9,NA,NA,NA,"ICZN","http://arctos.database.museum/guid/UWBM:Mamm:80986?seid=3647208",NA,NA,"Rodentia",1459,"http://arctos.database.museum/guid/UWBM:Mamm:80986","original identifier=Tissue Number: JEB 1354",NA,NA,"Chordata",44,"skull","<i>Erethizon dorsatum</i> (accepted ID) identified by unknown on 2017-07-11; method: legacy","DWC_ARCHIVE","US","06fcbbf0-0562-11d8-b851-b8a03c50a862",NA,NA,"http://arctos.database.museum/guid/UWBM:Mamm:80986",NA,NA,NA,NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,NA,6066824,NA,"SPECIES",NA,NA,NA,"decimal degrees",NA,"before 2017-07-11","USA | Oregon | Harney | Malheur NWR; Central Patrol Rd, near Benson Pond",NA,NA,NA,NA,2018-05-18
"1582","GBIF","GBIF36","specimen",1991-06-19,1991,"1990s",47.1391630562027,-122.097864436545,"PSM","PhysicalObject","Washington",NA,"http://vertnet.org/resources/norms.html","Washington","Pierce",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"Mammal-30015","Mammalia",359,"South Prairie, Washington, Pierce, United States, NORTH_AMERICA","Mammal",NA,"NORTH_AMERICA",NA,3553,"United States",57,NA,NA,NA,"8eddc200-f535-4c65-9b4d-f723eafe607e",NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"170","NATIVE","1991-06-19T00:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,"United States","812666431","Erethizon","Erethizon",2437593,"WGS84",NA,"John Rozdilsky (UWBM)","4/6/2003",NA,NA,"GNIS","requires verification",NA,NA,"Mammalia | Rodentia | Erethizontidae | Erethizon","| USA | Washington | Pierce |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"urn:catalog:PSM:Mammal:Mammal-30015",NA,NA,NA,"PSM","urn:lsid:biocol.org:col:34825",NA,NA,"US",812666431,"Animalia",1,"en","2017-10-08T11:02:30.085+0000","2018-02-04T15:56:20.265+0000","2016-12-24T11:30:17.813+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"South Prairie",NA,NA,NA,NA,NA,"2016-05-26T00:00:00.000+0000",6,NA,NA,NA,"ICZN","urn:catalog:PSM:Mammal:Mammal-30015",NA,"present","Rodentia",1459,NA,NA,NA,NA,"Chordata",44,"Schmidt, B. K. and J. Ke",NA,"DWC_ARCHIVE","US","f56c5f80-055c-11d8-b84e-b8a03c50a862","C. Smith; Schmidt, B. K. and J. Ke",NA,"http://portal.vertnet.org/o/psm/mammal?id=mammal-30015",NA,NA,NA,NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,"FEMALE","Erethizon dorsatus",6066824,"dorsatus","170",NA,NA,6066824,NA,"SPECIES",NA,NA,NA,"decimal degrees",NA,NA,"USA | Washington | Pierce | South Prairie",NA,NA,NA,NA,2018-05-18
"1589","GBIF","GBIF37","specimen",1991-09-20,1991,"1990s",47.655099999061,-122.0621,"UWBM","PhysicalObject","Washington",NA,"http://vertnet.org/resources/norms.html","Washington","King County",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"39388","Mammalia",359,"Redmond; 20021 NE 39th; 1.5 mi S, 2.5 mi E; T25N R6E Sec 17, Washington, King County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,2749,"United States",61,NA,NA,NA,"830eb5d0-f762-11e1-a439-00145eb45e9a",NA,"2017-07-11T00:00:00.000+0000",20,NA,NA,NA,"ear from notch=35 mm; hind foot with claw=105 mm; tail length=283 mm; total length=884 mm; weight=11.02 kg; verbatim collector=X Catalog 362, E. E. Makela ; sex=male",NA,NA,NA,NA,NA,NA,NA,"263",NA,"1991-09-20T00:00:00.000+0000",NA,"native",NA,"Erethizontidae",5498,NA,NA,NA,"United States","1702678345","Erethizon","Erethizon",2437593,"WGS84",NA,"unknown","2017-07-11 00:00:00.0","not recorded",NA,"unknown","unverified",NA,NA,"Animalia; Chordata; Mammalia; Rodentia; Erethizontidae;  (Linnaeus, 1758)","North America, United States, Washington, King County",NA,NA,NA,NA,"A",NA,"legacy","unknown","http://arctos.database.museum/guid/UWBM:Mamm:39388?seid=3662272",1,NA,NA,"UWBM","http://biocol.org/urn:lsid:biocol.org:col:34878",NA,NA,"US",1702678345,"Animalia",1,"en","2018-05-09T08:35:49.003+0000","2018-02-02T21:40:13.951+0000","2017-11-29T18:00:15.024+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"Redmond; 20021 NE 39th; 1.5 mi S, 2.5 mi E; T25N R6E Sec 17","unknown",NA,"; VERBATIMCOORDINATESYSTEM: decimal degrees; GEOREFERENCEDBY: John Rozdilsky (UWBM); GEOREFERENCEDDATE: 25 Apr 1998; GEOREFERENCESOURCES: TRS Graphical Locator web site, http://www.esg.montana.edu/gl/trs-data.html; GEOREFERENCEVERIFICATIONSTATUS: requires verification",NA,NA,"2017-07-14T20:14:25.000+0000",9,NA,NA,NA,"ICZN","http://arctos.database.museum/guid/UWBM:Mamm:39388?seid=3662272",NA,NA,"Rodentia",1459,"http://arctos.database.museum/guid/UWBM:Mamm:39388",NA,NA,NA,"Chordata",44,"skeleton","<i>Erethizon dorsatum</i> (accepted ID) identified by unknown on 2017-07-11; method: legacy","DWC_ARCHIVE","US","06fcbbf0-0562-11d8-b851-b8a03c50a862",NA,NA,"http://arctos.database.museum/guid/UWBM:Mamm:39388",NA,NA,NA,NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,"MALE","Erethizon dorsatus",6066824,"dorsatus",NA,NA,NA,6066824,NA,"SPECIES",NA,NA,NA,"decimal degrees",NA,"before 2017-07-11","USA | Washington | King | Redmond; 20021 NE 39th; 1.5 mi S, 2.5 mi E; T25N R6E Sec 17",NA,NA,NA,NA,2018-05-18
"1598","GBIF","GBIF38","sign",1990-05-16,1990,"1990s",46.4,-118.116667,"CLO","Sound","Washington",NA,"http://vertnet.org/resources/norms.html","Washington",NA,NA,NA,NA,NA,"MACHINE_OBSERVATION",NA,NA,NA,"47539","Mammalia",359,"Walla Walla, WA; Smith Springs, Washington, United States, NORTH_AMERICA","ML",NA,"NORTH_AMERICA",NA,NA,"United States",17,NA,NA,NA,"7f6dd0f7-9ed4-49c0-bb71-b2a9c7fed9f1",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"136","NATIVE","1990-05-16T00:00:00.000+0000",NA,NA,NA,"Erethizontidae",5498,NA,NA,NA,"United States","1147050831","Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,"requires verification",NA,NA,NA,"| United States | Washington |  |  |  |  |",NA,NA,NA,NA,NA,NA,NA,NA,"17bf9e44-9237-40ef-a6c6-8b3c7275388c",NA,NA,NA,"CLO","urn:lsid:biocol.org:col:34939",NA,NA,"US",1147050831,"Animalia",1,"en","2018-03-08T05:30:07.109+0000","2018-03-08T05:30:50.836+0000","2018-03-08T05:30:10.296+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"Walla Walla, WA; Smith Springs",NA,NA,NA,NA,NA,"2015-11-04T00:00:00.000+0000",5,NA,NA,NA,"ICZN","17bf9e44-9237-40ef-a6c6-8b3c7275388c","NOTES: SOUND CATEGORY: unknown.","present","Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","e2e717bf-551a-4917-bdc9-4fa0f342c530","David S Herr",NA,"http://macaulaylibrary.org/audio/47539",NA,"http://creativecommons.org/publicdomain/zero/1.0",NA,NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus","136",NA,NA,6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"16-May-1990","United States | Washington | Walla Walla, WA; Smith Springs",NA,NA,"Common Porcupine",NA,2018-05-18
"1653","GBIF","GBIF39","specimen",1987-04-15,1987,"1980s",43.2464830316429,-118.577464241537,"UWBM","PhysicalObject","Oregon",NA,"http://vertnet.org/resources/norms.html","Oregon","Harney County",NA,NA,NA,NA,"PRESERVED_SPECIMEN",NA,NA,NA,"35481","Mammalia",359,"Princeton; Malheur National Wildlife Refuge, Oregon, Harney County, United States, NORTH_AMERICA","Mammal specimens",NA,"NORTH_AMERICA",NA,14,"United States",61,NA,NA,NA,"830eb5d0-f762-11e1-a439-00145eb45e9a",NA,"2017-07-11T00:00:00.000+0000",15,NA,NA,NA,"ear from notch=25 mm; hind foot with claw=111 mm; tail length=215 mm; total length=750 mm; weight=15.91 kg; verbatim collector=K. M. Faber ; verbatim collector=P. R. Taylor 254 ; sex=female",NA,NA,NA,NA,NA,NA,NA,"105",NA,"1987-04-15T00:00:00.000+0000",NA,"native",NA,"Erethizontidae",5498,NA,NA,NA,"United States","1702674503","Erethizon","Erethizon",2437593,"WGS84",NA,"unknown","2017-07-11 00:00:00.0","not recorded",NA,"unknown","unverified",NA,NA,"Animalia; Chordata; Mammalia; Rodentia; Erethizontidae;  (Linnaeus, 1758)","North America, United States, Oregon, Harney County",NA,NA,NA,NA,"A",NA,"legacy","unknown","http://arctos.database.museum/guid/UWBM:Mamm:35481?seid=3639612",1,NA,NA,"UWBM","http://biocol.org/urn:lsid:biocol.org:col:34878",NA,NA,"US",1702674503,"Animalia",1,"en","2018-05-09T08:35:40.617+0000","2018-02-02T21:40:12.441+0000","2017-11-29T18:00:09.526+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",NA,NA,"Princeton; Malheur National Wildlife Refuge","unknown",NA,"; VERBATIMCOORDINATESYSTEM: decimal degrees; GEOREFERENCEDBY: Gary W. Shugart (PSM); GEOREFERENCEDDATE: 2 Jul 2002; GEOREFERENCESOURCES: GNIS downloaded Feb 2002; GEOREFERENCEVERIFICATIONSTATUS: requires verification",NA,NA,"2017-07-25T20:35:46.000+0000",4,NA,NA,NA,"ICZN","http://arctos.database.museum/guid/UWBM:Mamm:35481?seid=3639612",NA,NA,"Rodentia",1459,"http://arctos.database.museum/guid/UWBM:Mamm:35481",NA,NA,NA,"Chordata",44,"skeleton; skin, study","<i>Erethizon dorsatum</i> (accepted ID) identified by unknown on 2017-07-11; method: legacy","DWC_ARCHIVE","US","06fcbbf0-0562-11d8-b851-b8a03c50a862",NA,NA,"http://arctos.database.museum/guid/UWBM:Mamm:35481",NA,NA,NA,NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,"FEMALE","Erethizon dorsatus",6066824,"dorsatus",NA,NA,NA,6066824,NA,"SPECIES",NA,NA,NA,"decimal degrees",NA,"before 2017-07-11","USA | Oregon | Harney | Princeton; Malheur National Wildlife Refuge",NA,NA,NA,NA,2018-05-18
